Date,Open,High,Low,Close,Shares Traded,Turnover,MA13,PriceCrossover,PriceCrossoverSwitch,Target Close,VolumeMA7,VolumeDif,Target Close Percent,Last Week Gain,Last Week Gain Acceleration,Volatility7,Y Last Week Gain,GainFORCALC,LossFORCALC,Gain,Loss,Average Gain,Average Loss,RSI7,RSI7LOW,RSI7HIGH,Trend,PriceVolume,MA7PriceVolume,Month,GoldPRICE,GOLDUPDOWN,OilPRICE,OilUPDOWN,GOLDOILUPDOWN,InterestRate,IntersetRateOpen,InterestRateHigh,InterestRateLow,InterestRateChange,InterestChangeUpdown,AllUpdown
27/08/18,11605.85,11700.95,11595.6,11691.95,205689327,11707.5,11470.73333,221.2166667,0,11476.95,247730417.7,-42041090.71,-1.84,256.85,182.55,63.92742909,74.3,134.85,-134.85,134.85,0,47.50714286,10.81428571,80.08428657,0,1,611.45,17709851055,3004886196,Aug,29869,1,4820,1,2,7.894,7.865,7.898,7.86,0.0029,1,3
28/08/18,11731.95,11760.2,11710.5,11738.5,249420312,13946.7,11495.94167,242.5583333,0,11536.9,242851510.1,6568801.857,-1.72,353.45,355.5,84.8275695,-2.05,46.55,-46.55,46.55,0,54.15714286,3.664285714,92.07043109,0,1,811.65,1633703044,3756170146,Aug,30097,1,4823,1,2,7.895,7.892,7.921,7.892,0.0001,1,3
29/08/18,11744.95,11753.2,11678.85,11691.9,259351550,14324.65,11519.98333,171.9166667,0,11589.1,235681512.1,23670037.86,-0.88,221.15,139.85,99.47775475,81.3,-46.6,46.6,0,46.6,41.91428571,10.32142857,78.73339595,0,0,831.45,-13758599728,629125484.7,Aug,30048,1,4809,-1,0,7.918,7.914,7.92,7.895,0.0029,1,1
30/08/18,11694.75,11698.8,11639.7,11676.8,323450305,18275.54,11538.41667,138.3833333,0,11438.1,238162376,85287929,-2.04,125.05,23.3,90.37520269,101.75,-15.1,15.1,0,15.1,30.34285714,12.47857143,69.24205379,0,0,699.65,-5805932975,-1901468187,Aug,30099,1,4901,1,2,7.93,7.93,7.941,7.914,0.0015,1,3
31/08/18,11675.85,11727.65,11640.1,11680.5,357230312,20755.73,11559.025,121.475,0,11287.5,250106225.6,107124086.4,-3.36,109.6,9.4,86.57639552,100.2,3.7,-3.7,3.7,0,28.13571429,12.47857143,67.61071061,0,0,455.8,1661120951,-1489216987,Aug,30226,1,4969,1,2,7.951,7.951,7.958,7.937,0.0026,1,3
03/09/18,11751.8,11751.8,11567.4,11582.35,241726864,16139.58,11586.0875,-3.7375,-1,11369.9,268130031.7,-26403167.71,-1.83,-0.4,-153.65,84.79581568,153.25,-98.15,98.15,0,98.15,26.44285714,26.5,49.02012712,0,0,234.25,-40960617105,-5951959744,Sep,30226,1,4951,-1,0,7.999,7.94,8,7.917,0.006,1,1
04/09/18,11598.75,11602.55,11496.85,11520.3,262701030,16254.78,11598.35833,-78.05833333,0,11515.2,266067606.3,-3366576.286,-0.04,-36.8,-238.15,114.4935894,201.35,-62.05,62.05,0,62.05,26.44285714,31.7,44.71014493,0,0,72.4,-20608895804,-8589910080,Sep,30191,1,4951,1,2,8.062,8.006,8.069,7.986,0.0079,1,3
05/09/18,11514.85,11542.65,11393.85,11476.95,253689858,15078.23,11609.62917,-132.6791667,0,11377.75,271367100,-17677242,-0.86,-215,-471.85,139.9860758,256.85,-43.35,43.35,0,43.35,7.178571429,37.89285714,15.58139535,1,0,-252.2,-9614845618,-12493438176,Sep,30274,1,4974,1,2,8.049,8.043,8.11,8.033,-0.0016,-1,1
06/09/18,11514.15,11562.25,11436.05,11536.9,255558129,15161,11610.14583,-73.24583333,0,11278.9,278224318.7,-22666189.71,-2.24,-201.6,-555.05,184.7223341,353.45,59.95,-59.95,59.95,0,9.092857143,37.89285714,18.94909199,1,0,-453.4,5813947435,-11896260406,Sep,30535,1,4931,-1,0,8.056,8.038,8.085,8.033,0.0009,1,1
07/09/18,11558.25,11603,11484.4,11589.1,305029077,16441.02,11608.90833,-19.80833333,0,11234.35,279101149.7,25927927.29,-3.06,-102.8,-323.95,165.7198306,221.15,52.2,-52.2,52.2,0,16.55,31.23571429,33.9238653,0,0,-519.4,9410147025,-8586439441,Sep,30402,-1,4874,-1,-2,8.031,8.05,8.05,8.011,-0.0031,-1,-3
10/09/18,11570.25,11573,11427.3,11438.1,295597988,16513.89,11610.425,-172.325,0,11143.1,285626510.7,9971477.286,-2.58,-238.7,-363.75,136.4014065,125.05,-151,151,0,151,16.55,50.65,24.26686217,0,0,-543.1,-39063274114,-13337488176,Sep,30402,1,4871,-1,0,8.158,8.069,8.158,8.069,0.0158,1,1
11/09/18,11476.85,11479.4,11274,11287.5,318093125,18745.54,11598.37083,-310.8708333,0,10967.4,281647608.3,36445516.71,-2.84,-393,-502.6,129.4928808,109.6,-150.6,150.6,0,150.6,16.02142857,72.16428571,17.96411981,1,0,-734.5,-60230933219,-22179210200,Sep,30605,1,4902,1,2,8.182,8.155,8.189,8.134,0.0029,1,3
12/09/18,11340.1,11380.75,11250.2,11369.9,276509748,15567.9,11575.90417,-206.0041667,0,11067.45,276056581.6,453166.4286,-2.66,-212.45,-212.05,134.4706146,-0.4,82.4,-82.4,82.4,0,27.79285714,58.14285714,31.96943554,0,0,-844.15,8239990490,-15150551972,Sep,30478,-1,5008,1,0,8.134,8.218,8.231,8.121,-0.0059,-1,-1
14/09/18,11443.5,11523.25,11430.55,11515.2,285218296,16423.36,11549.06667,-33.86666667,0,11053.8,281025565,4192731,-4.01,-5.1,31.7,111.960793,-36.8,145.3,-145.3,145.3,0,48.55,49.27857143,49.12546979,0,0,-610.55,20450151823,-9284973740,Sep,30558,1,4990,-1,0,8.127,8.093,8.131,8.091,-0.0009,-1,-1
17/09/18,11464.95,11464.95,11366.9,11377.75,207620518,11294.84,11530.45833,-152.7083333,0,10977.55,284242317.3,-76621799.29,-3.52,-99.2,115.8,120.0157624,-215,-137.45,137.45,0,137.45,48.55,62.72142857,43.24341519,0,0,-316.75,-18104509170,-10497782818,Sep,30614,1,4954,-1,0,8.098,8.164,8.184,8.09,-0.0032,-1,-1
18/09/18,11381.55,11411.45,11268.95,11278.9,248298794,13814.11,11504.27917,-225.3791667,0,10930.45,277660983,-29362189,-3.09,-258,-56.4,124.7700814,-201.6,-98.85,98.85,0,98.85,39.98571429,76.84285714,33.93549952,0,0,-362.3,-25487871204,-14969471195,Sep,30737,1,4999,1,2,8.14,8.106,8.143,8.043,0.0052,1,3
19/09/18,11326.65,11332.05,11210.9,11234.35,258424384,15116.69,11471.12083,-236.7708333,0,11008.3,276623935.1,-18199551.14,-2.01,-354.75,-251.95,128.2469451,-102.8,-44.55,44.55,0,44.55,32.52857143,83.20714286,27.86514104,0,0,-711.95,-23852570643,-19721288005,Sep,30722,-1,5056,1,0,8.074,8.124,8.134,8.067,-0.0081,-1,-1
21/09/18,11271.3,11346.8,10866.45,11143.1,741153209,35131.19,11433.94167,-290.8416667,0,10858.25,269966121.9,471187087.1,-2.56,-295,-56.3,135.7986863,-238.7,-91.25,91.25,0,91.25,32.52857143,74.67142857,30.0633747,0,0,-907.75,-95015841394,-27714511902,Sep,30697,1,5111,-1,0,8.076,8.031,8.135,8.017,0.0002,1,1
24/09/18,11164.4,11170.15,10943.6,10967.4,398815949,23023.34,11397.3375,-429.9375,0,10599.25,333616867.7,65199081.29,-3.36,-320.1,72.9,138.521466,-393,-175.7,175.7,0,175.7,32.52857143,78.25714286,29.09904153,0,0,-969.85,-78566741953,-30333913150,Sep,30664,1,5085,-1,0,8.122,8.094,8.13,8.074,0.0057,1,1
