Date,Price,Open,High,Low,Change %,,,,
"May 30, 2016",7.461,7.461,7.461,7.461,-0.13%,May,2016,30,
"May 28, 2016",7.471,7.471,7.471,7.471,0.00%,May,2016,28,
"May 27, 2016",7.471,7.471,7.471,7.471,0.00%,May,2016,27,
"May 26, 2016",7.471,7.471,7.471,7.471,0.09%,May,2016,26,
"May 25, 2016",7.464,7.464,7.464,7.464,-0.03%,May,2016,25,
"May 24, 2016",7.466,7.466,7.466,7.466,0.00%,May,2016,24,
"May 23, 2016",7.466,7.466,7.466,7.466,-0.17%,May,2016,23,
"May 20, 2016",7.479,7.479,7.479,7.479,0.12%,May,2016,20,
"May 19, 2016",7.47,7.47,7.47,7.47,-0.08%,May,2016,19,
"May 18, 2016",7.476,7.476,7.476,7.476,0.30%,May,2016,18,
"May 17, 2016",7.454,7.454,7.454,7.454,0.00%,May,2016,17,
"May 16, 2016",7.454,7.454,7.454,7.454,0.05%,May,2016,16,
"May 13, 2016",7.45,7.45,7.45,7.45,0.36%,May,2016,13,
"May 12, 2016",7.423,7.423,7.423,7.423,-0.07%,May,2016,12,
"May 11, 2016",7.428,7.428,7.428,7.428,0.00%,May,2016,11,
"May 10, 2016",7.428,7.428,7.428,7.428,0.04%,May,2016,10,
"May 09, 2016",7.425,7.425,7.425,7.425,-0.13%,May,2016,09,
"May 06, 2016",7.435,7.435,7.435,7.435,0.00%,May,2016,06,
"May 05, 2016",7.435,7.435,7.435,7.435,0.04%,May,2016,05,
"May 04, 2016",7.432,7.432,7.432,7.432,-0.13%,May,2016,04,
"May 03, 2016",7.442,7.442,7.442,7.442,0.01%,May,2016,03,
"May 02, 2016",7.441,7.441,7.441,7.441,0.05%,May,2016,02,
"Apr 29, 2016",7.437,7.437,7.437,7.437,-0.08%,Apr,2016,29,
"Apr 28, 2016",7.443,7.443,7.443,7.443,-0.27%,Apr,2016,28,
"Apr 27, 2016",7.463,7.463,7.463,7.463,-0.12%,Apr,2016,27,
"Apr 26, 2016",7.472,7.472,7.472,7.472,0.03%,Apr,2016,26,
"Apr 25, 2016",7.47,7.47,7.47,7.47,0.19%,Apr,2016,25,
"Apr 22, 2016",7.456,7.456,7.456,7.456,-0.27%,Apr,2016,22,
"Apr 21, 2016",7.476,7.476,7.476,7.476,0.51%,Apr,2016,21,
"Apr 20, 2016",7.438,7.438,7.438,7.438,0.28%,Apr,2016,20,
"Apr 18, 2016",7.417,7.417,7.417,7.417,-0.27%,Apr,2016,18,
"Apr 13, 2016",7.437,7.437,7.437,7.437,0.27%,Apr,2016,13,
"Apr 12, 2016",7.417,7.417,7.417,7.417,-0.01%,Apr,2016,12,
"Apr 11, 2016",7.418,7.418,7.418,7.418,-0.42%,Apr,2016,11,
